Filter Order, Weight Decimal Bits, Weight Integer Bits, Latency Min, Latency Max, Latency Min, Latency Mac, II Min, II Max, BRAM, DSP, FF, LUT, URAM
2, 16, 4,        16,        16,   80.000 ns,   80.000 ns,    16,    16,         0,     16,     1516,    1713,     0
2, 16, 8,        17,        17,   85.000 ns,   85.000 ns,    16,    16,         0,     16,     1534,    1814,     0
2, 16, 32,        19,        19,   95.000 ns,   95.000 ns,    18,    18,         0,     30,     6721,    4059,     0
2, 32, 4,        18,        18,   90.000 ns,   90.000 ns,    17,    17,         0,     32,     5723,    3963,     0
2, 32, 8,        18,        18,   90.000 ns,   90.000 ns,    17,    17,         0,     34,     5406,    4257,     0
2, 32, 32,        13,        13,   65.000 ns,   65.000 ns,    13,    13,         0,     50,     4109,    4489,     0
3, 16, 4,        18,        18,   90.000 ns,   90.000 ns,    17,    17,         0,     28,     2565,    2557,     0
3, 16, 8,        18,        18,   90.000 ns,   90.000 ns,    17,    17,         0,     28,     2645,    2699,     0
3, 16, 32,        20,        20,   0.100 us,   0.100 us,    20,    20,         0,     52,    11059,    6254,     0
3, 32, 4,        20,        20,   0.100 us,   0.100 us,    19,    19,         0,     56,     9912,    6262,     0
3, 32, 8,        20,        20,   0.100 us,   0.100 us,    19,    19,         0,     60,     9339,    6762,     0
3, 32, 32,        15,        15,   75.000 ns,   75.000 ns,    14,    14,         0,     88,     7089,    6979,     0
5, 16, 4,        20,        20,   0.100 us,   0.100 us,    20,    20,         0,     52,     4780,    4240,     0
5, 16, 8,        21,        21,   0.105 us,   0.105 us,    20,    20,         0,     52,     5050,    4476,     0
5, 16, 32,        23,        23,   0.115 us,   0.115 us,    23,    23,         0,     96,    19868,   10640,     0
5, 32, 4,        23,        23,   0.115 us,   0.115 us,    22,    22,         0,    104,    18197,   10868,     0
5, 32, 8,        23,        23,   0.115 us,   0.115 us,    22,    22,         0,    112,    17112,   11780,     0
5, 32, 32,        18,        18,   90.000 ns,   90.000 ns,    17,    17,         0,    164,    12854,   11969,     0
11, 16, 4,        28,        28,   0.140 us,   0.140 us,    28,    28,         0,    124,    11276,    9275,     0
11, 16, 8,        30,        30,   0.150 us,   0.150 us,    29,    29,         0,    124,    12058,    9776,     0
11, 16, 32,        32,        32,   0.160 us,   0.160 us,    32,    32,         0,    228,    46295,   23788,     0
11, 32, 4,        32,        32,   0.160 us,   0.160 us,    31,    31,         0,    248,    43052,   24670,     0
11, 32, 8,        32,        32,   0.160 us,   0.160 us,    31,    31,         0,    268,    40431,   26818,     0
11, 32, 32,        27,        27,   0.135 us,   0.135 us,    26,    26,         0,    392,    30149,   26904,     0
